idea_id,x,y,title,domain
1,10.378816,-6.950961,Smart Monitoring Platform for Urban Traffic Flow,space
2,9.264054,2.5021284,Intelligent Recommendation Engine for Crop Health,agriculture
3,16.320492,5.035209,Intelligent Recommendation Engine for Air Quality In Cities,mental_health
4,0.70720226,14.73812,Smart Monitoring Platform for Supply Chain Logistics,healthcare
5,2.7718925,-2.1964886,Smart Monitoring Platform for Mental Wellness Patterns,productivity
6,10.507324,-6.962348,Smart Monitoring Platform for Urban Traffic Flow,food_tech
7,0.705012,-3.4728715,Intelligent Recommendation Engine for Energy Consumption,space
8,11.097005,-7.025259,AI Assistant for Urban Traffic Flow,robotics
9,-4.3667645,1.0162778,Smart Monitoring Platform for Fitness Activity Tracking,agriculture
10,2.5787544,-1.4923592,Predictive Analytics System for Mental Wellness Patterns,finance
11,15.414904,6.6376143,Smart Monitoring Platform for Air Quality In Cities,social
12,11.33111,-7.4730515,Predictive Analytics System for Urban Traffic Flow,mental_health
13,2.6560483,-1.541912,Predictive Analytics System for Mental Wellness Patterns,education
14,2.8760777,14.849092,AI Assistant for Supply Chain Logistics,environment
15,10.703137,-6.674063,Smart Monitoring Platform for Urban Traffic Flow,environment
16,-8.601856,11.776335,Predictive Analytics System for Waste Management,food_tech
17,2.3763168,13.958974,Predictive Analytics System for Supply Chain Logistics,fitness
18,-3.7819319,0.49279022,AI Assistant for Fitness Activity Tracking,environment
19,-1.150594,-4.216024,AI Assistant for Personal Finance Habits,robotics
20,0.6857052,-4.4853816,AI Assistant for Energy Consumption,environment
21,2.9341311,15.034683,AI Assistant for Supply Chain Logistics,mental_health
22,-3.9306767,-0.6574762,Predictive Analytics System for Fitness Activity Tracking,productivity
23,1.3880398,-0.4384415,Intelligent Recommendation Engine for Mental Wellness Patterns,education
24,-0.4706347,-4.111217,Autonomous Optimization Tool for Energy Consumption,finance
25,-4.297558,-0.26088685,Intelligent Recommendation Engine for Fitness Activity Tracking,fitness
26,9.696392,-5.2307343,Predictive Analytics System for Urban Traffic Flow,education
27,-7.6030526,12.965915,Intelligent Recommendation Engine for Waste Management,environment
28,11.19059,-7.354294,Predictive Analytics System for Urban Traffic Flow,healthcare
29,-1.0546911,-3.198611,Intelligent Recommendation Engine for Personal Finance Habits,education
30,8.336504,2.5203462,Smart Monitoring Platform for Crop Health,retail
31,-0.2734006,-0.8643051,Predictive Analytics System for Energy Consumption,retail
32,11.057685,-6.8947716,AI Assistant for Urban Traffic Flow,space
33,2.2325547,14.6862335,Autonomous Optimization Tool for Supply Chain Logistics,robotics
34,-4.444101,0.6558034,Autonomous Optimization Tool for Fitness Activity Tracking,healthcare
35,-3.668227,0.05535456,AI Assistant for Fitness Activity Tracking,agriculture
36,9.366749,2.5250068,Intelligent Recommendation Engine for Crop Health,social
37,-3.8158777,0.51353794,AI Assistant for Fitness Activity Tracking,environment
38,-1.0036834,-3.2820563,Intelligent Recommendation Engine for Personal Finance Habits,robotics
39,2.776525,13.642051,Intelligent Recommendation Engine for Supply Chain Logistics,education
40,-4.366984,-2.6309981,AI Assistant for Student Performance,agriculture
41,11.338605,-7.4582367,Predictive Analytics System for Urban Traffic Flow,mental_health
42,15.09232,6.0450783,AI Assistant for Air Quality In Cities,agriculture
43,2.2118065,13.92209,Predictive Analytics System for Supply Chain Logistics,education
