id,title,description,domain
1,Workout Form Analyzer 1,A machine learning system that analyzes user behavior and generates optimized plans.,environment
2,Podcast Topic Recommender 2,A tool that processes sensor or user data to detect patterns and provide predictions.,transport
3,Smart Waste Segregation 3,A prediction engine that forecasts outcomes using historical data.,healthcare
4,Smart Waste Segregation 4,A recommendation system using embeddings and similarity search.,gaming
5,Student Burnout Predictor 5,An AI platform that evaluates inputs and generates insights for better decision making.,social
6,Carbon Footprint Tracker 6,A monitoring tool that detects anomalies and alerts users.,transport
7,Local Event Recommendation Engine 7,A machine learning model that classifies patterns in real‑world data.,healthcare
8,Workout Form Analyzer 8,A platform that visualizes complex patterns and trends through interactive dashboards.,productivity
9,Mental Health Chat Companion 9,An AI platform that evaluates inputs and generates insights for better decision making.,social
10,Smart Grocery Expiry Tracker 10,A tool that processes sensor or user data to detect patterns and provide predictions.,healthcare
11,Workout Form Analyzer 11,A machine learning system that analyzes user behavior and generates optimized plans.,environment
12,AI Study Planner 12,A tool that processes sensor or user data to detect patterns and provide predictions.,productivity
13,Podcast Topic Recommender 13,An AI platform that evaluates inputs and generates insights for better decision making.,healthcare
14,Music Mood Classifier 14,A monitoring tool that detects anomalies and alerts users.,education
15,AI Study Planner 15,A recommendation system using embeddings and similarity search.,ai_tools
16,Adaptive Learning Path Generator 16,A tool that processes sensor or user data to detect patterns and provide predictions.,productivity
17,Student Burnout Predictor 17,A machine learning model that classifies patterns in real‑world data.,transport
18,Sleep Quality Predictor 18,A system that analyzes large datasets to produce recommendations and risk scores.,productivity
19,Music Mood Classifier 19,A recommendation system using embeddings and similarity search.,productivity
20,Smart Grocery Expiry Tracker 20,A monitoring tool that detects anomalies and alerts users.,gaming
21,Fake News Detector 21,A machine learning model that classifies patterns in real‑world data.,productivity
22,Student Burnout Predictor 22,A prediction engine that forecasts outcomes using historical data.,transport
23,Real‑time Bus Delay Predictor 23,An intelligent assistant that provides suggestions based on contextual signals.,social
24,Song Popularity Predictor 24,A monitoring tool that detects anomalies and alerts users.,gaming
25,Real‑time Bus Delay Predictor 25,A system that analyzes large datasets to produce recommendations and risk scores.,environment
26,Personal Finance Risk Analyzer 26,A monitoring tool that detects anomalies and alerts users.,music
27,Fake News Detector 27,An AI platform that evaluates inputs and generates insights for better decision making.,productivity
28,Urban Noise Mapping Tool 28,A system that analyzes large datasets to produce recommendations and risk scores.,gaming
29,Student Burnout Predictor 29,A machine learning model that classifies patterns in real‑world data.,gaming
30,Song Popularity Predictor 30,A prediction engine that forecasts outcomes using historical data.,finance
31,AI Study Planner 31,A platform that visualizes complex patterns and trends through interactive dashboards.,productivity
32,Smart Grocery Expiry Tracker 32,An AI platform that evaluates inputs and generates insights for better decision making.,finance
33,Adaptive Learning Path Generator 33,An intelligent assistant that provides suggestions based on contextual signals.,finance
34,Carbon Footprint Tracker 34,A prediction engine that forecasts outcomes using historical data.,social
35,AI Resume Feedback System 35,A monitoring tool that detects anomalies and alerts users.,music
36,Real‑time Bus Delay Predictor 36,An intelligent assistant that provides suggestions based on contextual signals.,healthcare
37,Personal Finance Risk Analyzer 37,A tool that processes sensor or user data to detect patterns and provide predictions.,social
38,Mental Health Chat Companion 38,A monitoring tool that detects anomalies and alerts users.,music
39,Student Burnout Predictor 39,A monitoring tool that detects anomalies and alerts users.,ai_tools
40,Mental Health Chat Companion 40,A tool that processes sensor or user data to detect patterns and provide predictions.,social
41,Mental Health Chat Companion 41,A machine learning model that classifies patterns in real‑world data.,music
42,Podcast Topic Recommender 42,A system that analyzes large datasets to produce recommendations and risk scores.,healthcare
43,Workout Form Analyzer 43,An AI platform that evaluates inputs and generates insights for better decision making.,productivity
44,Real‑time Bus Delay Predictor 44,A prediction engine that forecasts outcomes using historical data.,transport
45,Student Burnout Predictor 45,A machine learning model that classifies patterns in real‑world data.,ai_tools
46,Carbon Footprint Tracker 46,A system that analyzes large datasets to produce recommendations and risk scores.,environment
47,Real‑time Bus Delay Predictor 47,A machine learning system that analyzes user behavior and generates optimized plans.,finance
48,Code Complexity Visualizer 48,An intelligent assistant that provides suggestions based on contextual signals.,healthcare
49,Podcast Topic Recommender 49,A machine learning model that classifies patterns in real‑world data.,music
50,AI Study Planner 50,A platform that visualizes complex patterns and trends through interactive dashboards.,environment
51,Fake News Detector 51,A machine learning model that classifies patterns in real‑world data.,education
52,Personal Finance Risk Analyzer 52,An AI platform that evaluates inputs and generates insights for better decision making.,finance
53,Code Complexity Visualizer 53,A recommendation system using embeddings and similarity search.,transport
54,Smart Grocery Expiry Tracker 54,An AI platform that evaluates inputs and generates insights for better decision making.,gaming
55,Urban Noise Mapping Tool 55,A monitoring tool that detects anomalies and alerts users.,gaming
56,Music Mood Classifier 56,A system that analyzes large datasets to produce recommendations and risk scores.,ai_tools
57,Student Burnout Predictor 57,A platform that visualizes complex patterns and trends through interactive dashboards.,education
58,Smart Waste Segregation 58,A monitoring tool that detects anomalies and alerts users.,ai_tools
59,Urban Noise Mapping Tool 59,A platform that visualizes complex patterns and trends through interactive dashboards.,gaming
60,Personal Finance Risk Analyzer 60,A monitoring tool that detects anomalies and alerts users.,finance
61,Personal Finance Risk Analyzer 61,A system that analyzes large datasets to produce recommendations and risk scores.,social
62,Personal Finance Risk Analyzer 62,An AI platform that evaluates inputs and generates insights for better decision making.,environment
63,Smart Waste Segregation 63,A tool that processes sensor or user data to detect patterns and provide predictions.,healthcare
64,Code Complexity Visualizer 64,A system that analyzes large datasets to produce recommendations and risk scores.,music
65,AI Study Planner 65,An intelligent assistant that provides suggestions based on contextual signals.,transport
66,Crowd Density Estimator 66,A tool that processes sensor or user data to detect patterns and provide predictions.,finance
67,Personal Finance Risk Analyzer 67,A prediction engine that forecasts outcomes using historical data.,ai_tools
68,Music Mood Classifier 68,An intelligent assistant that provides suggestions based on contextual signals.,education
69,AI Resume Feedback System 69,A prediction engine that forecasts outcomes using historical data.,music
70,Mental Health Chat Companion 70,A system that analyzes large datasets to produce recommendations and risk scores.,social
71,Personal Finance Risk Analyzer 71,A tool that processes sensor or user data to detect patterns and provide predictions.,social
72,Fake News Detector 72,A recommendation system using embeddings and similarity search.,education
73,Sleep Quality Predictor 73,A platform that visualizes complex patterns and trends through interactive dashboards.,transport
74,Sleep Quality Predictor 74,A system that analyzes large datasets to produce recommendations and risk scores.,environment
75,Crowd Density Estimator 75,A prediction engine that forecasts outcomes using historical data.,healthcare
76,Adaptive Learning Path Generator 76,A tool that processes sensor or user data to detect patterns and provide predictions.,healthcare
77,Crowd Density Estimator 77,An AI platform that evaluates inputs and generates insights for better decision making.,social
78,Real‑time Bus Delay Predictor 78,A platform that visualizes complex patterns and trends through interactive dashboards.,healthcare
79,AI Resume Feedback System 79,An AI platform that evaluates inputs and generates insights for better decision making.,environment
80,Urban Noise Mapping Tool 80,A machine learning model that classifies patterns in real‑world data.,environment
81,Adaptive Learning Path Generator 81,A machine learning system that analyzes user behavior and generates optimized plans.,environment
82,AI Study Planner 82,An AI platform that evaluates inputs and generates insights for better decision making.,gaming
83,Mental Health Chat Companion 83,An intelligent assistant that provides suggestions based on contextual signals.,gaming
84,Student Burnout Predictor 84,A recommendation system using embeddings and similarity search.,ai_tools
85,Fake News Detector 85,A system that analyzes large datasets to produce recommendations and risk scores.,ai_tools
86,Crowd Density Estimator 86,A system that analyzes large datasets to produce recommendations and risk scores.,music
87,Music Mood Classifier 87,A system that analyzes large datasets to produce recommendations and risk scores.,transport
88,Workout Form Analyzer 88,A prediction engine that forecasts outcomes using historical data.,education
89,Personal Finance Risk Analyzer 89,A machine learning model that classifies patterns in real‑world data.,social
